quote,author,tags,author_link,word_count,tag_count,character_count,source_url
"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",Bob Marley,love,http://quotes.toscrape.com/author/Bob-Marley,138,1,697,http://quotes.toscrape.com/page/2/
"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Dr. Seuss,fantasy,http://quotes.toscrape.com/author/Dr-Seuss,16,1,92,http://quotes.toscrape.com/page/2/
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",Douglas Adams,"life, navigation",http://quotes.toscrape.com/author/Douglas-Adams,22,2,95,http://quotes.toscrape.com/page/2/
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy",http://quotes.toscrape.com/author/Elie-Wiesel,37,8,224,http://quotes.toscrape.com/page/2/
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage",http://quotes.toscrape.com/author/Friedrich-Nietzsche,16,6,82,http://quotes.toscrape.com/page/2/
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,"books, contentment, friends, friendship, life",http://quotes.toscrape.com/author/Mark-Twain,13,5,76,http://quotes.toscrape.com/page/2/
Life is what happens to us while we are making other plans.,Allen Saunders,"fate, life, misattributed-john-lennon, planning, plans",http://quotes.toscrape.com/author/Allen-Saunders,12,5,61,http://quotes.toscrape.com/page/2/
"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",Pablo Neruda,"love, poetry",http://quotes.toscrape.com/author/Pablo-Neruda,66,2,319,http://quotes.toscrape.com/page/3/
For every minute you are angry you lose sixty seconds of happiness.,Ralph Waldo Emerson,happiness,http://quotes.toscrape.com/author/Ralph-Waldo-Emerson,12,1,69,http://quotes.toscrape.com/page/3/
"If you judge people, you have no time to love them.",Mother Teresa,attributed-no-source,http://quotes.toscrape.com/author/Mother-Teresa,11,1,53,http://quotes.toscrape.com/page/3/
Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,Garrison Keillor,"humor, religion",http://quotes.toscrape.com/author/Garrison-Keillor,24,2,123,http://quotes.toscrape.com/page/3/
Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,Jim Henson,humor,http://quotes.toscrape.com/author/Jim-Henson,27,1,134,http://quotes.toscrape.com/page/3/
"Today you are You, that is truer than true. There is no one alive who is Youer than You.",Dr. Seuss,"comedy, life, yourself",http://quotes.toscrape.com/author/Dr-Seuss,19,3,90,http://quotes.toscrape.com/page/3/
"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.",Albert Einstein,"children, fairy-tales",http://quotes.toscrape.com/author/Albert-Einstein,25,2,138,http://quotes.toscrape.com/page/3/
"It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.",J.K. Rowling,,http://quotes.toscrape.com/author/J-K-Rowling,32,0,169,http://quotes.toscrape.com/page/3/
Logic will get you from A to Z; imagination will get you everywhere.,Albert Einstein,imagination,http://quotes.toscrape.com/author/Albert-Einstein,13,1,70,http://quotes.toscrape.com/page/3/
"One good thing about music, when it hits you, you feel no pain.",Bob Marley,music,http://quotes.toscrape.com/author/Bob-Marley,13,1,65,http://quotes.toscrape.com/page/3/
"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",Dr. Seuss,"learning, reading, seuss",http://quotes.toscrape.com/author/Dr-Seuss,21,3,108,http://quotes.toscrape.com/page/4/
"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",J.K. Rowling,dumbledore,http://quotes.toscrape.com/author/J-K-Rowling,21,1,107,http://quotes.toscrape.com/page/4/
"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",Bob Marley,friendship,http://quotes.toscrape.com/author/Bob-Marley,19,1,97,http://quotes.toscrape.com/page/4/
Not all of us can do great things. But we can do small things with great love.,Mother Teresa,"misattributed-to-mother-teresa, paraphrased",http://quotes.toscrape.com/author/Mother-Teresa,17,2,80,http://quotes.toscrape.com/page/4/
"To the well-organized mind, death is but the next great adventure.",J.K. Rowling,"death, inspirational",http://quotes.toscrape.com/author/J-K-Rowling,11,2,68,http://quotes.toscrape.com/page/4/
All you need is love. But a little chocolate now and then doesn't hurt.,Charles M. Schulz,"chocolate, food, humor",http://quotes.toscrape.com/author/Charles-M-Schulz,14,3,73,http://quotes.toscrape.com/page/4/
We read to know we're not alone.,William Nicholson,"misattributed-to-c-s-lewis, reading",http://quotes.toscrape.com/author/William-Nicholson,7,2,34,http://quotes.toscrape.com/page/4/
Any fool can know. The point is to understand.,Albert Einstein,"knowledge, learning, understanding, wisdom",http://quotes.toscrape.com/author/Albert-Einstein,9,4,48,http://quotes.toscrape.com/page/4/
I have always imagined that Paradise will be a kind of library.,Jorge Luis Borges,"books, library",http://quotes.toscrape.com/author/Jorge-Luis-Borges,12,2,65,http://quotes.toscrape.com/page/4/
It is never too late to be what you might have been.,George Eliot,inspirational,http://quotes.toscrape.com/author/George-Eliot,12,1,54,http://quotes.toscrape.com/page/4/
"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",George R.R. Martin,"read, readers, reading, reading-books",http://quotes.toscrape.com/author/George-R-R-Martin,19,4,101,http://quotes.toscrape.com/page/5/
You can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,"books, inspirational, reading, tea",http://quotes.toscrape.com/author/C-S-Lewis,18,4,79,http://quotes.toscrape.com/page/5/
You believe lies so you eventually learn to trust no one but yourself.,Marilyn Monroe,,http://quotes.toscrape.com/author/Marilyn-Monroe,13,0,72,http://quotes.toscrape.com/page/5/
"If you can make a woman laugh, you can make her do anything.",Marilyn Monroe,"girls, love",http://quotes.toscrape.com/author/Marilyn-Monroe,13,2,62,http://quotes.toscrape.com/page/5/
"Life is like riding a bicycle. To keep your balance, you must keep moving.",Albert Einstein,"life, simile",http://quotes.toscrape.com/author/Albert-Einstein,14,2,76,http://quotes.toscrape.com/page/5/
The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,Marilyn Monroe,love,http://quotes.toscrape.com/author/Marilyn-Monroe,24,1,125,http://quotes.toscrape.com/page/5/
"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",Marilyn Monroe,attributed-no-source,http://quotes.toscrape.com/author/Marilyn-Monroe,17,1,98,http://quotes.toscrape.com/page/5/
Only in the darkness can you see the stars.,Martin Luther King Jr.,"hope, inspirational",http://quotes.toscrape.com/author/Martin-Luther-King-Jr,9,2,45,http://quotes.toscrape.com/page/5/
"It matters not what someone is born, but what they grow to be.",J.K. Rowling,dumbledore,http://quotes.toscrape.com/author/J-K-Rowling,13,1,64,http://quotes.toscrape.com/page/5/
"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",James Baldwin,love,http://quotes.toscrape.com/author/James-Baldwin,27,1,118,http://quotes.toscrape.com/page/5/
"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",Jane Austen,"friendship, love",http://quotes.toscrape.com/author/Jane-Austen,28,2,136,http://quotes.toscrape.com/page/6/
Do one thing every day that scares you.,Eleanor Roosevelt,"attributed, fear, inspiration",http://quotes.toscrape.com/author/Eleanor-Roosevelt,8,3,41,http://quotes.toscrape.com/page/6/
"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.",Marilyn Monroe,attributed-no-source,http://quotes.toscrape.com/author/Marilyn-Monroe,32,1,134,http://quotes.toscrape.com/page/6/
"If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.",Albert Einstein,music,http://quotes.toscrape.com/author/Albert-Einstein,31,1,147,http://quotes.toscrape.com/page/6/
"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.",Haruki Murakami,"books, thought",http://quotes.toscrape.com/author/Haruki-Murakami,20,2,110,http://quotes.toscrape.com/page/6/
The difference between genius and stupidity is: genius has its limits.,Alexandre Dumas fils,misattributed-to-einstein,http://quotes.toscrape.com/author/Alexandre-Dumas-fils,11,1,72,http://quotes.toscrape.com/page/6/
"He's like a drug for you, Bella.",Stephenie Meyer,"drug, romance, simile",http://quotes.toscrape.com/author/Stephenie-Meyer,7,3,34,http://quotes.toscrape.com/page/6/
There is no friend as loyal as a book.,Ernest Hemingway,"books, friends, novelist-quotes",http://quotes.toscrape.com/author/Ernest-Hemingway,9,3,40,http://quotes.toscrape.com/page/6/
"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",Helen Keller,inspirational,http://quotes.toscrape.com/author/Helen-Keller,31,1,153,http://quotes.toscrape.com/page/6/
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,"inspirational, life, yourself",http://quotes.toscrape.com/author/George-Bernard-Shaw,10,3,69,http://quotes.toscrape.com/page/6/
"That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.",Charles Bukowski,alcohol,http://quotes.toscrape.com/author/Charles-Bukowski,44,1,252,http://quotes.toscrape.com/page/7/
You don’t forget the face of the person who was your last hope.,Suzanne Collins,the-hunger-games,http://quotes.toscrape.com/author/Suzanne-Collins,13,1,65,http://quotes.toscrape.com/page/7/
"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.",Suzanne Collins,humor,http://quotes.toscrape.com/author/Suzanne-Collins,17,1,87,http://quotes.toscrape.com/page/7/
"To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.",C.S. Lewis,love,http://quotes.toscrape.com/author/C-S-Lewis,92,1,516,http://quotes.toscrape.com/page/7/
Not all those who wander are lost.,J.R.R. Tolkien,"bilbo, journey, lost, quest, travel, wander",http://quotes.toscrape.com/author/J-R-R-Tolkien,7,6,36,http://quotes.toscrape.com/page/7/
"Do not pity the dead, Harry. Pity the living, and, above all those who live without love.",J.K. Rowling,live-death-love,http://quotes.toscrape.com/author/J-K-Rowling,17,1,91,http://quotes.toscrape.com/page/7/
There is nothing to writing. All you do is sit down at a typewriter and bleed.,Ernest Hemingway,"good, writing",http://quotes.toscrape.com/author/Ernest-Hemingway,16,2,80,http://quotes.toscrape.com/page/7/
Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,Ralph Waldo Emerson,"life, regrets",http://quotes.toscrape.com/author/Ralph-Waldo-Emerson,52,2,268,http://quotes.toscrape.com/page/7/
I have never let my schooling interfere with my education.,Mark Twain,education,http://quotes.toscrape.com/author/Mark-Twain,10,1,60,http://quotes.toscrape.com/page/7/
I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!,Dr. Seuss,troubles,http://quotes.toscrape.com/author/Dr-Seuss,41,1,206,http://quotes.toscrape.com/page/7/
If I had a flower for every time I thought of you...I could walk through my garden forever.,Alfred Tennyson,"friendship, love",http://quotes.toscrape.com/author/Alfred-Tennyson,18,2,93,http://quotes.toscrape.com/page/8/
Some people never go crazy. What truly horrible lives they must lead.,Charles Bukowski,humor,http://quotes.toscrape.com/author/Charles-Bukowski,12,1,71,http://quotes.toscrape.com/page/8/
"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.",Terry Pratchett,"humor, open-mind, thinking",http://quotes.toscrape.com/author/Terry-Pratchett,24,3,125,http://quotes.toscrape.com/page/8/
"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!",Dr. Seuss,"humor, philosophy",http://quotes.toscrape.com/author/Dr-Seuss,22,2,107,http://quotes.toscrape.com/page/8/
"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",J.D. Salinger,"authors, books, literature, reading, writing",http://quotes.toscrape.com/author/J-D-Salinger,47,5,241,http://quotes.toscrape.com/page/8/
The reason I talk to myself is because I’m the only one whose answers I accept.,George Carlin,"humor, insanity, lies, lying, self-indulgence, truth",http://quotes.toscrape.com/author/George-Carlin,16,6,81,http://quotes.toscrape.com/page/8/
"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",John Lennon,"beatles, connection, dreamers, dreaming, dreams, hope, inspirational, peace",http://quotes.toscrape.com/author/John-Lennon,25,8,117,http://quotes.toscrape.com/page/8/
I am free of all prejudice. I hate everyone equally.,W.C. Fields,"humor, sinister",http://quotes.toscrape.com/author/W-C-Fields,11,2,55,http://quotes.toscrape.com/page/8/
The question isn't who is going to let me; it's who is going to stop me.,Ayn Rand,,http://quotes.toscrape.com/author/Ayn-Rand,16,0,74,http://quotes.toscrape.com/page/8/
′Classic′ - a book which people praise and don't read.,Mark Twain,"books, classic, reading",http://quotes.toscrape.com/author/Mark-Twain,10,3,56,http://quotes.toscrape.com/page/8/
Anyone who has never made a mistake has never tried anything new.,Albert Einstein,mistakes,http://quotes.toscrape.com/author/Albert-Einstein,12,1,67,http://quotes.toscrape.com/page/9/
"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.",Jane Austen,"humor, love, romantic, women",http://quotes.toscrape.com/author/Jane-Austen,19,4,107,http://quotes.toscrape.com/page/9/
"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.",J.K. Rowling,integrity,http://quotes.toscrape.com/author/J-K-Rowling,46,1,252,http://quotes.toscrape.com/page/9/
"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.",Jane Austen,"books, library, reading",http://quotes.toscrape.com/author/Jane-Austen,42,3,203,http://quotes.toscrape.com/page/9/
"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.",Jane Austen,"elizabeth-bennet, jane-austen",http://quotes.toscrape.com/author/Jane-Austen,59,2,309,http://quotes.toscrape.com/page/9/
Some day you will be old enough to start reading fairy tales again.,C.S. Lewis,"age, fairytales, growing-up",http://quotes.toscrape.com/author/C-S-Lewis,13,3,69,http://quotes.toscrape.com/page/9/
We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.,C.S. Lewis,god,http://quotes.toscrape.com/author/C-S-Lewis,25,1,126,http://quotes.toscrape.com/page/9/
The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,Mark Twain,"death, life",http://quotes.toscrape.com/author/Mark-Twain,22,2,104,http://quotes.toscrape.com/page/9/
A lie can travel half way around the world while the truth is putting on its shoes.,Mark Twain,"misattributed-mark-twain, truth",http://quotes.toscrape.com/author/Mark-Twain,17,2,85,http://quotes.toscrape.com/page/9/
"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",C.S. Lewis,"christianity, faith, religion, sun",http://quotes.toscrape.com/author/C-S-Lewis,26,4,132,http://quotes.toscrape.com/page/9/
"The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.",J.K. Rowling,truth,http://quotes.toscrape.com/author/J-K-Rowling,19,1,123,http://quotes.toscrape.com/page/10/
"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.",Jimi Hendrix,"death, life",http://quotes.toscrape.com/author/Jimi-Hendrix,25,2,103,http://quotes.toscrape.com/page/10/
To die will be an awfully big adventure.,J.M. Barrie,"adventure, love",http://quotes.toscrape.com/author/J-M-Barrie,8,2,42,http://quotes.toscrape.com/page/10/
It takes courage to grow up and become who you really are.,E.E. Cummings,courage,http://quotes.toscrape.com/author/E-E-Cummings,12,1,60,http://quotes.toscrape.com/page/10/
But better to get hurt by the truth than comforted with a lie.,Khaled Hosseini,life,http://quotes.toscrape.com/author/Khaled-Hosseini,13,1,64,http://quotes.toscrape.com/page/10/
You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.,Harper Lee,better-life-empathy,http://quotes.toscrape.com/author/Harper-Lee,27,1,148,http://quotes.toscrape.com/page/10/
"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",Madeleine LEngle,"books, children, difficult, grown-ups, write, writers, writing",http://quotes.toscrape.com/author/Madeleine-LEngle,27,7,139,http://quotes.toscrape.com/page/10/
Never tell the truth to people who are not worthy of it.,Mark Twain,truth,http://quotes.toscrape.com/author/Mark-Twain,12,1,58,http://quotes.toscrape.com/page/10/
"A person's a person, no matter how small.",Dr. Seuss,inspirational,http://quotes.toscrape.com/author/Dr-Seuss,8,1,43,http://quotes.toscrape.com/page/10/
"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.",George R.R. Martin,"books, mind",http://quotes.toscrape.com/author/George-R-R-Martin,18,2,81,http://quotes.toscrape.com/page/10/
